agents,features,traits,regions,usediter,non_zero_edges
49,10,14,1,22169,0
49,10,18,1,20445,0
49,10,18,1,20458,0
49,10,18,1,19035,0
49,10,18,2,16306,0
49,10,18,1,22384,0
100,2,2,1,5560,0
100,2,2,2,2745,0
100,2,2,2,745,0
100,2,2,2,4876,0
100,2,2,5,1119,0
100,2,6,8,4365,0
100,2,6,12,2229,0
100,2,6,9,2968,0
100,2,6,12,1740,0
100,2,6,15,1454,0
100,2,10,32,1123,0
100,2,10,29,973,0
100,2,10,21,1429,0
100,2,10,25,1063,0
100,2,10,25,1643,0
100,2,14,45,350,0
100,2,14,38,1573,0
100,2,14,34,590,0
100,2,14,53,175,0
100,2,14,66,110,0
100,2,18,71,66,0
100,2,18,55,244,0
100,2,18,63,320,0
100,2,18,62,140,0
100,2,18,68,105,0
100,6,2,1,24743,0
100,6,2,1,27449,0
100,6,2,1,17882,0
100,6,2,1,27214,0
100,6,2,1,34820,0
100,6,6,1,38767,0
100,6,6,1,55131,0
100,6,6,1,40566,0
100,6,6,1,49089,0
100,6,6,1,42794,0
100,6,10,1,56782,0
100,6,10,1,38833,0
100,6,10,1,49127,0
100,6,10,1,38917,0
100,6,10,1,33570,0
100,6,14,1,39985,0
100,6,14,2,37037,0
100,6,14,1,39419,0
100,6,14,1,41387,0
100,6,14,1,67924,0
100,6,18,4,39785,0
100,6,18,1,45801,0
100,6,18,3,31785,0
100,6,18,1,41683,0
100,6,18,2,63297,0
100,10,2,1,41010,0
100,10,2,1,20322,0
100,10,2,1,39443,0
100,10,2,1,26342,0
100,10,2,1,22559,0
100,10,6,1,64459,0
100,10,6,1,55443,0
100,10,6,1,77261,0
100,10,6,1,56789,0
100,10,6,1,71809,0
100,10,10,1,72656,0
100,10,10,1,70263,0
100,10,10,1,83093,0
100,10,10,1,63388,0
100,10,10,1,93224,0
100,10,14,1,76195,0
100,10,14,1,79358,0
100,10,14,1,81292,0
100,10,14,1,70899,0
100,10,14,2,98965,0
100,10,18,1,81234,0
100,10,18,1,77888,0
100,10,18,1,78608,0
100,10,18,2,63892,0
100,10,18,1,79034,0
144,2,2,2,10377,0
144,2,2,1,9573,0
144,2,2,5,18024,0
144,2,2,1,11205,0
144,2,2,3,4310,0
144,2,6,15,4464,0
144,2,6,9,10536,0
144,2,6,20,2883,0
144,2,6,13,2721,0
144,2,6,13,6787,0
144,2,10,35,1955,0
144,2,10,25,3838,0
144,2,10,38,1994,0
144,2,10,41,2084,0
144,2,10,42,3331,0
144,2,14,68,627,0
144,2,14,58,1196,0
144,2,14,66,745,0
144,2,14,66,1106,0
144,2,14,58,1225,0
144,2,18,83,519,0
144,2,18,101,159,0
144,2,18,88,537,0
144,2,18,81,545,0
144,2,18,92,412,0
144,6,2,1,37131,0
144,6,2,1,50057,0
144,6,2,1,31391,0
144,6,2,1,43684,0
144,6,2,1,51101,0
144,6,6,1,112559,0
144,6,6,1,63136,0
144,6,6,1,115697,0
144,6,6,1,96160,0
144,6,6,1,82086,0
144,6,10,1,87392,0
144,6,10,1,128552,0
144,6,10,1,74354,0
144,6,10,1,85170,0
144,6,10,1,120836,0
144,6,14,3,116982,0
144,6,14,1,105383,0
144,6,14,1,79914,0
144,6,14,1,90991,0
144,6,14,1,79172,0
144,6,18,3,99734,0
144,6,18,2,75659,0
144,6,18,2,69501,0
144,6,18,2,101746,0
144,6,18,2,120243,0
144,10,2,1,60249,0
144,10,2,1,38242,0
144,10,2,1,53943,0
144,10,2,1,75924,0
144,10,2,1,39836,0
144,10,6,1,163705,0
144,10,6,1,153371,0
144,10,6,1,101063,0
144,10,6,1,137932,0
144,10,6,1,122982,0
144,10,10,1,157615,0
144,10,10,1,170847,0
144,10,10,1,144580,0
144,10,10,1,143886,0
144,10,10,1,143646,0
144,10,14,1,147708,0
144,10,14,1,189382,0
144,10,14,1,193331,0
144,10,14,1,153714,0
144,10,14,1,144488,0
144,10,18,1,147863,0
144,10,18,1,153855,0
144,10,18,1,155309,0
144,10,18,1,164211,0
144,10,18,1,156474,0
225,2,2,2,7230,0
225,2,2,5,9813,0
225,2,2,4,23602,0
225,2,2,9,11994,0
225,2,2,4,16804,0
225,2,6,16,11740,0
225,2,6,12,20150,0
225,2,6,15,13737,0
225,2,6,15,6836,0
225,2,6,20,11950,0
225,2,10,32,20108,0
225,2,10,39,8687,0
225,2,10,52,6667,0
225,2,10,26,13462,0
225,2,10,47,5778,0
225,2,14,94,1583,0
225,2,14,73,6688,0
225,2,14,97,1281,0
225,2,14,102,774,0
225,2,14,76,3134,0
225,2,18,134,1200,0
225,2,18,114,865,0
225,2,18,132,1826,0
225,2,18,104,3181,0
225,2,18,126,545,0
225,6,2,1,95747,0
225,6,2,1,139207,0
