agents,features,traits,regions,usediter,non_zero_edges
25,20,20,1,13018,0
25,20,20,1,10207,0
25,20,20,1,9567,0
25,20,20,1,11997,0
25,20,20,1,11226,0
25,20,25,1,12160,0
25,20,25,1,10895,0
25,20,25,1,11972,0
25,20,25,1,11484,0
25,20,25,1,12391,0
25,20,25,1,12363,0
25,20,25,1,12614,0
25,20,25,1,13137,0
25,20,25,1,10893,0
25,20,25,1,13031,0
25,20,30,1,10976,0
25,20,30,4,8468,0
25,20,30,1,12815,0
25,20,30,1,10778,0
25,20,30,1,12060,0
25,20,30,1,13807,0
25,20,30,1,11992,0
25,20,30,1,11612,0
25,20,30,1,12541,0
25,20,30,1,9623,0
25,20,35,1,12688,0
25,20,35,1,8112,0
25,20,35,1,11579,0
25,20,35,1,11162,0
25,20,35,1,10971,0
25,20,35,1,8857,0
25,20,35,2,10982,0
25,20,35,5,5843,0
25,20,35,2,7956,0
25,20,35,1,12786,0
25,20,40,3,8860,0
25,20,40,1,12755,0
25,20,40,1,9521,0
25,20,40,1,10905,0
25,20,40,4,8174,0
25,20,40,3,7314,0
25,20,40,1,11588,0
25,20,40,2,9776,0
25,20,40,3,8870,0
25,20,40,1,11867,0
25,20,42,1,8968,0
25,20,42,4,4933,0
25,20,42,3,9141,0
25,20,42,3,7511,0
25,20,42,1,13192,0
25,20,42,2,6136,0
25,20,42,3,8963,0
25,20,42,2,8316,0
25,20,42,2,9660,0
25,20,42,4,9054,0
25,20,44,1,11072,0
25,20,44,3,8156,0
25,20,44,3,8431,0
25,20,44,3,6967,0
25,20,44,2,9436,0
25,20,44,1,12326,0
25,20,44,2,11362,0
25,20,44,3,6671,0
25,20,44,2,10178,0
25,20,44,1,11375,0
25,20,46,3,9975,0
25,20,46,2,7984,0
25,20,46,2,10767,0
25,20,46,4,6249,0
25,20,46,3,9872,0
25,20,46,2,6323,0
25,20,46,2,10631,0
25,20,46,2,9812,0
25,20,46,2,9552,0
25,20,46,4,7469,0
25,20,48,4,6702,0
25,20,48,1,10796,0
25,20,48,1,11183,0
25,20,48,3,10559,0
25,20,48,2,9951,0
25,20,48,3,5187,0
25,20,48,3,8269,0
25,20,48,2,8110,0
25,20,48,1,12576,0
25,20,48,1,11174,0
25,20,50,3,7952,0
25,20,50,3,8998,0
25,20,50,2,10309,0
25,20,50,1,10295,0
25,20,50,1,10684,0
25,20,50,3,5630,0
25,20,50,2,10465,0
25,20,50,2,10651,0
25,20,50,3,9656,0
25,20,50,4,6345,0
25,20,60,3,8764,0
25,20,60,3,7953,0
25,20,60,3,9704,0
25,20,60,4,4192,0
25,20,60,3,8198,0
25,20,60,4,7031,0
25,20,60,5,6074,0
25,20,60,4,8276,0
25,20,60,4,4756,0
25,20,60,2,8973,0
25,20,80,5,8087,0
25,20,80,6,4743,0
25,20,80,6,5662,0
25,20,80,10,2899,0
25,20,80,5,7578,0
25,20,80,6,3418,0
25,20,80,3,8500,0
25,20,80,8,2860,0
25,20,80,7,4577,0
25,20,80,7,4950,0
25,20,100,7,3426,0
25,20,100,9,2273,0
25,20,100,7,3453,0
25,20,100,5,4083,0
25,20,100,5,3491,0
25,20,100,8,1941,0
25,20,100,5,6189,0
25,20,100,10,3078,0
25,20,100,4,7838,0
25,20,100,8,5334,0
25,20,300,19,462,0
25,20,300,19,469,0
25,20,300,15,1246,0
25,20,300,23,150,0
25,20,300,17,757,0
25,20,300,16,981,0
25,20,300,21,337,0
25,20,300,19,581,0
25,20,300,22,225,0
25,20,300,18,439,0
25,20,500,21,370,0
25,20,500,24,43,0
25,20,500,21,299,0
25,20,500,22,189,0
25,20,500,22,140,0
25,20,500,24,79,0
25,20,500,20,333,0
25,20,500,22,290,0
25,20,500,21,261,0
25,20,500,17,992,0
25,20,1000,23,105,0
25,20,1000,22,225,0
25,20,1000,23,105,0
25,20,1000,23,176,0
25,20,1000,23,198,0
25,20,1000,23,193,0
25,20,1000,22,214,0
25,20,1000,23,147,0
25,20,1000,23,87,0
25,20,1000,24,81,0
25,50,3,1,12687,0
25,50,3,1,15050,0
25,50,3,1,14727,0
25,50,3,1,16649,0
25,50,3,1,15107,0
25,50,3,1,13204,0
25,50,3,1,13086,0
25,50,3,1,11953,0
25,50,3,1,14955,0
25,50,3,1,16169,0
25,50,5,1,19492,0
25,50,5,1,20356,0
25,50,5,1,20157,0
